country	n_forms	at	t_at	capital_exp	revenue_total	income	va	rd	wages	emp	year	n_pars	fdi	fdi_income	n_groups	profit_return	net_interest	income_equity	capital_gains	txt	income_equity1	income_equity2	_	us_related_sales	us_unrelated_sales	for1_relates_sales	for1_unrelates_sales	for2_relates_sales	for2_unrelates_sales	iso
Afghanistan					0.0	0.0			0.0	0.0	2004			0.0	1.0															AFG
Afghanistan					0.0	0.0			0.0	0.0	2005																			AFG
Afghanistan					0.0	0.0			0.0	0.0	2006																			AFG
Afghanistan					0.0	0.0			0.0	0.0	2007																			AFG
Afghanistan					0.0	0.0			0.0	0.0	2008																			AFG
Afghanistan	0.0	4.0	1.0		8.0	-1.0		0.0			2009		3.0	-1.0	0.0															AFG
Afghanistan	0.0	4.0	1.0		8.0	-1.0		0.0			2010																			AFG
Afghanistan	0.0	4.0	1.0		8.0	-1.0		0.0			2011																			AFG
Afghanistan	0.0	4.0	1.0		8.0	-1.0		0.0			2012																			AFG
Afghanistan	0.0	4.0	1.0		8.0	-1.0		0.0			2013																			AFG
Afghanistan	0.0		3.0		9.0		5.0	0.0	7.0	0.5	2014				0.0															AFG
Afghanistan	0.0		3.0		9.0		5.0	0.0	7.0	0.5	2015																			AFG
Afghanistan	1.0		3.0			1.0	5.0	0.0	9.0	0.9	2016																			AFG
Afghanistan	1.0		3.0			1.0	5.0	0.0	9.0	0.9	2017																			AFG
Afghanistan	1.0		3.0			1.0	5.0	0.0	9.0	0.9	2018																			AFG
Afghanistan	2.0	125.0			89.0	4.0	28.0	0.0	17.0	2.3	2019	4.0																		AFG
Afghanistan	2.0	130.0	37.0	5.0	86.0	2.0	21.0	0.0	16.0	2.3	2020																			AFG
Afghanistan	2.0	120.0	29.0	4.0	89.0	1.0	16.0	0.0	14.0	2.1	2021																			AFG
Albania		2.0									2004		2.0		2.0															ALB
Albania		2.0									2005																			ALB
Albania		2.0									2006																			ALB
Albania	1.0										2007																			ALB
Albania	1.0										2008																			ALB
Albania	1.0		1.0			1.0		0.0			2009		-2.0		1.0															ALB
Albania	1.0		1.0			2.0		0.0			2010																			ALB
Albania	1.0		1.0			2.0		0.0			2011																			ALB
Albania	1.0		1.0			3.0		0.0			2012																			ALB
Albania	1.0		1.0			3.0		0.0			2013																			ALB
Albania	1.0	42.0	5.0		59.0	3.0		0.0	7.0	0.3	2014				1.0															ALB
Albania	1.0		5.0		58.0	3.0		0.0	7.0	0.3	2015																			ALB
Albania	1.0	43.0	5.0		56.0	3.0		0.0	7.0		2016																			ALB
Albania	1.0	45.0	5.0		56.0	3.0		0.0	7.0		2017																			ALB
Albania	1.0	46.0	5.0		53.0	3.0		0.0	7.0	0.3	2018																			ALB
Albania	2.0	98.0	24.0	1.0	94.0		66.0	0.0	9.0	0.2	2019	12.0																		ALB
Albania	2.0	99.0	24.0	1.0	92.0		64.0	0.0	9.0	0.2	2020																			ALB
Albania	2.0	102.0	24.0	1.0	106.0	-1.0	78.0	0.0	9.0	0.2	2021																			ALB
