iso	year	pi	source	type	emp	wages	at	t_at	txt	revenue_unrelated	revenue_total	net_interest	etr	n_groups	n_firms	accum_earnings	revenue_related	txc	capital	dom
ABW	2004		BEA_income	all_groups																
ABW	2005		BEA_income	all_groups																
ABW	2006		BEA_income	all_groups																
ABW	2007		BEA_income	all_groups																
ABW	2008		BEA_income	all_groups																
ABW	2009		BEA_income	all_groups																
ABW	2010		BEA_income	all_groups																
ABW	2011		BEA_income	all_groups																
ABW	2012		BEA_income	all_groups																
ABW	2013		BEA_income	all_groups																
ABW	2014		BEA_income	all_groups																
ABW	2015		BEA_income	all_groups																
ABW	2016		BEA_income	all_groups																
ABW	2017		BEA_income	all_groups																
ABW	2018		BEA_income	all_groups																
ABW	2019		BEA_income	all_groups																
ABW	2020		BEA_income	all_groups																
ABW	2021		BEA_income	all_groups																
AFG	2004		BEA_income	all_groups																
AFG	2005		BEA_income	all_groups																
AFG	2006		BEA_income	all_groups																
AFG	2007		BEA_income	all_groups																
AFG	2008		BEA_income	all_groups																
AFG	2009		BEA_income	all_groups																
AFG	2010		BEA_income	all_groups																
AFG	2011		BEA_income	all_groups																
AFG	2012		BEA_income	all_groups																
AFG	2013		BEA_income	all_groups																
AFG	2014		BEA_income	all_groups																
AFG	2015		BEA_income	all_groups																
AFG	2016		BEA_income	all_groups																
AFG	2017		BEA_income	all_groups																
AFG	2018		BEA_income	all_groups																
AFG	2019		BEA_income	all_groups																
AFG	2020		BEA_income	all_groups																
AFG	2021		BEA_income	all_groups																
AGO	2004		BEA_income	all_groups																
AGO	2005		BEA_income	all_groups																
AGO	2006		BEA_income	all_groups																
AGO	2007		BEA_income	all_groups																
AGO	2008		BEA_income	all_groups																
AGO	2009		BEA_income	all_groups																
AGO	2010		BEA_income	all_groups																
AGO	2011		BEA_income	all_groups																
AGO	2012		BEA_income	all_groups																
AGO	2013		BEA_income	all_groups																
AGO	2014		BEA_income	all_groups																
AGO	2015		BEA_income	all_groups																
AGO	2016		BEA_income	all_groups																
AGO	2017		BEA_income	all_groups																
AGO	2018		BEA_income	all_groups																
AGO	2019		BEA_income	all_groups																
AGO	2020		BEA_income	all_groups																
AGO	2021		BEA_income	all_groups																
AIA	2004		BEA_income	all_groups																
AIA	2005		BEA_income	all_groups																
AIA	2006		BEA_income	all_groups																
AIA	2007		BEA_income	all_groups																
AIA	2008		BEA_income	all_groups																
AIA	2009		BEA_income	all_groups																
AIA	2010		BEA_income	all_groups																
AIA	2011		BEA_income	all_groups																
AIA	2012		BEA_income	all_groups																
AIA	2013		BEA_income	all_groups																
AIA	2014		BEA_income	all_groups																
AIA	2015		BEA_income	all_groups																
AIA	2016		BEA_income	all_groups																
AIA	2017		BEA_income	all_groups																
AIA	2018		BEA_income	all_groups																
AIA	2019		BEA_income	all_groups																
