accum_earnings	at	capital	emp	iso	n_firms	n_groups	pi	revenue_related	revenue_total	revenue_unrelated	source	t_at	txc	txt	type	wages	year	etr	pi_original
2514520364464.0	18596353103685.0			Rest	88038.0	14039.0	670332991748.0		6857571433847.0	5048966953501.0	CFC			130814745048.0	all_groups		2012	0.1951488986195946	670332991748.0
61319946613.0	456538121753.0			MEX	5074.0	2516.0	24070559071.0		261728757713.0	193980058117.0	CFC			7290556761.0	all_groups		2012	0.3028827348586015	24070559071.0
2258947693.0	12674097774.0			PAN	366.0	253.0	175662942.0		7640102805.0	5012759243.0	CFC			103061921.0	all_groups		2012	0.5867026922502527	175662942.0
5374931499.0	31723958698.0			ARG	845.0	553.0	3168832083.0		39560863098.0	30705480187.0	CFC			1469726603.0	all_groups		2012	0.4638070318981935	3168832083.0
24331406657.0	279753328668.0			BRA	2082.0	1229.0	10920030683.0		162680507359.0	135963143915.0	CFC			4037415387.0	all_groups		2012	0.3697256449366333	10920030683.0
17053179506.0	148992364535.0			CHL	875.0	502.0	4837593815.0		44354620234.0	37061561826.0	CFC			949432827.0	all_groups		2012	0.196261377723793	4837593815.0
5989187443.0	32728549449.0			COL	614.0	434.0	1479657130.0		18630775622.0	16824172115.0	CFC			545569725.0	all_groups		2012	0.3687136120514622	1479657130.0
5476097512.0	16961407580.0			PER	420.0	326.0	2530267898.0		10657397267.0	8828380540.0	CFC			718005402.0	all_groups		2012	0.2837665539556239	2530267898.0
543595723.0	5830992969.0			URY	220.0	156.0	247343616.0		3577240712.0	2977881867.0	CFC			29667445.0	all_groups		2012	0.1199442519672713	247343616.0
6945526125.0	19846238745.0			VEN	381.0	241.0	2914705236.0		18160806243.0	17562172174.0	CFC			770709772.0	all_groups		2012	0.2644211711293608	2914705236.0
36987355908.0	174256436261.0			BHS	336.0	69.0	7794586124.0		59180902617.0	37517911557.0	CFC			1488172435.0	all_groups		2012	0.1909238555229799	7794586124.0
244774536924.0	822029325636.0			BMU	863.0	403.0	80828213024.0		307852583094.0	174770530617.0	CFC			12308321871.0	all_groups		2012	0.1522775453089052	80828213024.0
34910795477.0	61854720425.0			VGB	410.0	262.0	5752172171.0		32143659071.0	21339266613.0	CFC			659927475.0	all_groups		2012	0.1147266554932192	5752172171.0
164268537035.0	1160532534075.0			CAN	7195.0	3910.0	38996545402.0		648782577873.0	501741067510.0	CFC			9267840032.0	all_groups		2012	0.2376579755068428	38996545402.0
80255786170.0	733040879051.0			CYM	1783.0	769.0	28405491063.0		344300640723.0	269645243921.0	CFC			9300440342.0	all_groups		2012	0.3274169885453742	28405491063.0
3664195115.0	18503117138.0			AUT	508.0	336.0	609793396.0		13244002781.0	9796903943.0	CFC			212999089.0	all_groups		2012	0.349297139649574	609793396.0
10438300443.0	184357096196.0			BEL	1081.0	626.0	4237420500.0		56132798368.0	33916991585.0	CFC			878698067.0	all_groups		2012	0.2073662661045794	4237420500.0
1220304313.0	20112535202.0			CYP	169.0	129.0	272392971.0		2780436581.0	2396684545.0	CFC			58673635.0	all_groups		2012	0.2154006940215795	272392971.0
4817436462.0	21836281886.0			CZE	533.0	353.0	1151326304.0		17157265267.0	11674099248.0	CFC			218437195.0	all_groups		2012	0.1897265738141252	1151326304.0
5626478300.0	56770329211.0			DNK	678.0	399.0	2569038907.0		16255630269.0	11948250941.0	CFC			227381249.0	all_groups		2012	0.0885082932689115	2569038907.0
741534912.0	11623928667.0			FIN	376.0	259.0	285407667.0		6617935258.0	4712967495.0	CFC			85678352.0	all_groups		2012	0.3001963924115605	285407667.0
31313638560.0	469435208014.0			DEU	3859.0	1855.0	6957825253.0		228613836961.0	182281141117.0	CFC			3422386965.0	all_groups		2012	0.4918759584432466	6957825253.0
-323027597.0	6610547876.0			GRC	276.0	182.0	-7462073.0		6917829450.0	6352389889.0	CFC			76699111.0	all_groups		2012	-10.278525953846874	-7462073.0
2928747252.0	68583500339.0			HUN	426.0	290.0	2317818515.0		19797931965.0	9838792151.0	CFC			181008481.0	all_groups		2012	0.0780943287097695	2317818515.0
390511820946.0	1273928130721.0			IRL	1199.0	660.0	125483911084.0		523979752097.0	428586696598.0	CFC			3243155657.0	all_groups		2012	0.0258451910606213	125483911084.0
6059148687.0	110478453311.0			ITA	1465.0	836.0	2407924280.0		59817797100.0	42926769379.0	CFC			1569519503.0	all_groups		2012	0.6518143099582849	2407924280.0
163960176762.0	1883419368154.0			LUX	1195.0	525.0	30977749780.0		385154591259.0	290613928285.0	CFC			5486496381.0	all_groups		2012	0.1771108753852165	30977749780.0
393076351343.0	2456586230551.0			NLD	3690.0	1600.0	70851260720.0		524455849304.0	375173425674.0	CFC			13920792341.0	all_groups		2012	0.1964791056578957	70851260720.0
4294516053.0	50987158925.0			POL	814.0	508.0	873327607.0		27989911383.0	19738268789.0	CFC			404745962.0	all_groups		2012	0.463452613607805	873327607.0
801331822.0	9196503395.0			PRT	393.0	252.0	285452830.0		8233974814.0	6119918051.0	CFC			136190378.0	all_groups		2012	0.4771029174942844	285452830.0
-126253557.0	7211389437.0			ROU	312.0	228.0	186867162.0		7407368934.0	4667497995.0	CFC			76850431.0	all_groups		2012	0.4112570136854757	186867162.0
16102488603.0	122055006334.0			ESP	1567.0	824.0	4000570532.0		73480881879.0	51296527848.0	CFC			1269487032.0	all_groups		2012	0.3173264967697862	4000570532.0
10711656266.0	136653598418.0			SWE	943.0	560.0	3566656979.0		41588803632.0	27460282974.0	CFC			534247294.0	all_groups		2012	0.1497893677877005	3566656979.0
102471341524.0	3924675564926.0			GBR	9025.0	4166.0	32729628048.0		619250187922.0	492069859111.0	CFC			7957848280.0	all_groups		2012	0.2431389769639095	32729628048.0
2687811365.0	30966561167.0			NOR	424.0	256.0	4068099399.0		18185338635.0	11176876116.0	CFC			2621021933.0	all_groups		2012	0.6442866006775269	4068099399.0
7440080589.0	52681470410.0			RUS	746.0	393.0	3982812036.0		40001230204.0	28078338620.0	CFC			1023319740.0	all_groups		2012	0.2569339779910216	3982812036.0
218751939243.0	616739571336.0			CHE	1666.0	1051.0	34880318821.0		365810261191.0	226749494225.0	CFC			3692720263.0	all_groups		2012	0.1058683059048406	34880318821.0
21549237682.0	74049269165.0			IND	2682.0	1778.0	6847921312.0		69854296601.0	42318817185.0	CFC			2296963997.0	all_groups		2012	0.3354249986744007	6847921312.0
4829015684.0	55586512628.0			ISR	846.0	599.0	2849331058.0		21651753008.0	9604956900.0	CFC			316413507.0	all_groups		2012	0.1110483480365025	2849331058.0
2063260384.0	23191658169.0			TUR	488.0	298.0	1175962475.0		28852390672.0	19245196158.0	CFC			342925658.0	all_groups		2012	0.291612755755663	1175962475.0
37901195439.0	243460610938.0			CHN	5988.0	2810.0	13573813778.0		242116318535.0	159606994633.0	CFC			4073970484.0	all_groups		2012	0.3001345495547434	13573813778.0
27431977583.0	143193881207.0			HKG	2630.0	1684.0	5529103199.0		73928446909.0	48229091076.0	CFC			1078043900.0	all_groups		2012	0.1949762667108431	5529103199.0
33571077710.0	748423479377.0			JPN	2381.0	1407.0	12553318454.0		311374973198.0	255803952506.0	CFC			6206615822.0	all_groups		2012	0.4944203275606633	12553318454.0
30385511316.0	188631972702.0			KOR	945.0	683.0	7404875235.0		122347200070.0	100009300152.0	CFC			1873508192.0	all_groups		2012	0.2530100957197289	7404875235.0
11382874816.0	38159280063.0			MYS	963.0	581.0	2877559333.0		36453777331.0	19765360598.0	CFC			459450800.0	all_groups		2012	0.1596668380495214	2877559333.0
4053162622.0	17551384390.0			PHL	575.0	373.0	1995636768.0		21339722842.0	11330591207.0	CFC			431664438.0	all_groups		2012	0.2163041115105371	1995636768.0
72045368520.0	301429063706.0			SGP	2111.0	1393.0	15808345253.0		240831808093.0	147230744834.0	CFC			1398894166.0	all_groups		2012	0.0884908662868763	15808345253.0
5793963755.0	22704462149.0			THA	755.0	478.0	2060040155.0		39878836479.0	29826810922.0	CFC			578868349.0	all_groups		2012	0.2809985754865055	2060040155.0
64835389784.0	498989683704.0			AUS	2779.0	1417.0	12201451721.0		200665163742.0	172950487476.0	CFC			4167148949.0	all_groups		2012	0.3415289462505426	12201451721.0
31643293424.0	68801674764.0			PRI	529.0	375.0	8796606961.0		32547687235.0	18710276862.0	CFC			251894684.0	all_groups		2012	0.028635436949358	8796606961.0
3033871020486.0	20864415430959.0			Rest	90204.0	14969.0	647556587515.0		7029521268873.0	5169195688439.0	CFC			121632720671.0	all_groups		2014	0.1878333461756074	647556587515.0
106378921608.0	554378008721.0			MEX	5274.0	2727.0	22930960468.0		271717618291.0	206486022550.0	CFC			5567414359.0	all_groups		2014	0.2427902820193375	22930960468.0
2715031960.0	13102944197.0			PAN	351.0	238.0	521456076.0		6948630702.0	4906067634.0	CFC			100261267.0	all_groups		2014	0.1922717398732544	521456076.0
5150701987.0	31810515372.0			ARG	894.0	596.0	2254578165.0		35390634278.0	29275427899.0	CFC			1438215905.0	all_groups		2014	0.6379090897476158	2254578165.0
20170834064.0	267683954475.0			BRA	2406.0	1466.0	8716861206.0		183028761153.0	161778468200.0	CFC			3825154377.0	all_groups		2014	0.4388224484252503	8716861206.0
18028586513.0	247921764217.0			CHL	960.0	548.0	4299790165.0		42105162396.0	33654724398.0	CFC			859983581.0	all_groups		2014	0.2000059416852961	4299790165.0
4090135518.0	24217119591.0			COL	726.0	538.0	1646042581.0		22788439215.0	19757295277.0	CFC			791285611.0	all_groups		2014	0.4807200130383504	1646042581.0
6225018990.0	21482891899.0			PER	446.0	335.0	1762995201.0		12972587664.0	11041668933.0	CFC			806297808.0	all_groups		2014	0.45734543550808	1762995201.0
40196727533.0	223628314612.0			BHS	330.0	70.0	3831719911.0		46060170135.0	28779725409.0	CFC			1098449812.0	all_groups		2014	0.2866727833750581	3831719911.0
298786898926.0	944205019528.0			BMU	838.0	378.0	69121630087.0		285147808507.0	190619201939.0	CFC			10142391725.0	all_groups		2014	0.1467325309347344	69121630087.0
20765014095.0	55270876015.0			VGB	375.0	263.0	3693636046.0		20774661613.0	8758546337.0	CFC			513795825.0	all_groups		2014	0.1391029919031713	3693636046.0
158930817758.0	1080306952305.0			CAN	7372.0	4167.0	31122022500.0		635403223916.0	495616496424.0	CFC			8404156506.0	all_groups		2014	0.2700388930700118	31122022500.0
71816138187.0	666650240989.0			CYM	1782.0	787.0	17283709792.0		266075985272.0	216611105246.0	CFC			8215592050.0	all_groups		2014	0.4753373059875547	17283709792.0
3697068202.0	21474780914.0			AUT	576.0	409.0	697900884.0		15430453707.0	12064764945.0	CFC			212252005.0	all_groups		2014	0.3041291533884918	697900884.0
12939580358.0	181594153422.0			BEL	1071.0	640.0	5116178868.0		60942807187.0	35632018224.0	CFC			1671724901.0	all_groups		2014	0.3267526300646141	5116178868.0
5540962094.0	18464877859.0			CZE	503.0	344.0	1126401681.0		16114204619.0	10597825513.0	CFC			243119710.0	all_groups		2014	0.2158374886161058	1126401681.0
6684253096.0	54583788275.0			DNK	892.0	642.0	1205399049.0		16880224491.0	12152795181.0	CFC			268519906.0	all_groups		2014	0.2227643254097175	1205399049.0
28383609795.0	224212913402.0			FRA	2793.0	1299.0	5601862727.0		138102667774.0	100662364990.0	CFC			2413200276.0	all_groups		2014	0.430785328667337	5601862727.0
43074435435.0	426868936818.0			DEU	3900.0	1993.0	14319327788.0		261079454528.0	198202615615.0	CFC			4145204317.0	all_groups		2014	0.2894831641799413	14319327788.0
3630077212.0	52966915286.0			HUN	415.0	295.0	2308215091.0		17322552523.0	7935089745.0	CFC			253329314.0	all_groups		2014	0.1097511730981053	2308215091.0
582797824024.0	1581708954275.0			IRL	1355.0	788.0	117769780552.0		549893646084.0	441467043641.0	CFC			4721451737.0	all_groups		2014	0.0400905199523174	117769780552.0
7028025786.0	124316366643.0			ITA	1480.0	882.0	2966847268.0		66394658840.0	52490141480.0	CFC			1433280794.0	all_groups		2014	0.4830989479839985	2966847268.0
214300801282.0	2390339421105.0			LUX	1400.0	596.0	46950764942.0		503511160034.0	340460459236.0	CFC			6682020132.0	all_groups		2014	0.1423197287680945	46950764942.0
465657011348.0	2952620275006.0			NLD	3732.0	1596.0	51590891366.0		623275243230.0	439572220635.0	CFC			10906250799.0	all_groups		2014	0.2113987665308601	51590891366.0
7481130372.0	50175786092.0			POL	831.0	512.0	2003025501.0		31580787010.0	21926857516.0	CFC			423321351.0	all_groups		2014	0.2113409693429559	2003025501.0
952485124.0	8098646410.0			PRT	381.0	253.0	455513590.0		9433974831.0	7514710796.0	CFC			146987320.0	all_groups		2014	0.3226848182509769	455513590.0
14345954353.0	111216795520.0			ESP	1472.0	828.0	3772686788.0		78211373966.0	53388278374.0	CFC			1356782819.0	all_groups		2014	0.3596330401229162	3772686788.0
7060232327.0	125011412904.0			SWE	933.0	563.0	2008070624.0		44003351859.0	31110239034.0	CFC			796521382.0	all_groups		2014	0.3966600439646688	2008070624.0
119464620164.0	4580806399988.0			GBR	9026.0	4029.0	36904340974.0		592097539698.0	461015451264.0	CFC			7339757502.0	all_groups		2014	0.1988860201343532	36904340974.0
2787512290.0	31406922142.0			NOR	429.0	272.0	2696451342.0		16084733232.0	10763961183.0	CFC			1324887735.0	all_groups		2014	0.4913449445066975	2696451342.0
258722896315.0	711831336484.0			CHE	1396.0	834.0	37200667479.0		362745603710.0	225848683178.0	CFC			3716363993.0	all_groups		2014	0.0999004653639053	37200667479.0
24710727098.0	84886799559.0			IND	3030.0	2026.0	9817135105.0		84104642512.0	52299411811.0	CFC			4459042195.0	all_groups		2014	0.4542101282408703	9817135105.0
6695251284.0	55210419404.0			ISR	862.0	627.0	3297594433.0		22104491278.0	10017944989.0	CFC			479058309.0	all_groups		2014	0.1452750842268297	3297594433.0
