fyear,No_info,Info,_,pifo,Share of profits made by companies with info on foreign profits
1969,2599772000.0,,0.0,,
1970,42575018000.0,,0.0,,
1971,49856081000.0,,0.0,,
1972,60149652000.0,,0.0,,
1973,76955194000.0,,0.0,,
1974,92673798000.0,,0.0,,
1975,90595572000.0,,0.0,,
1976,113542396000.0,,0.0,,
1977,126959352000.0,,0.0,,
1978,144848474000.00003,,0.0,,
1979,172637638000.0,,0.0,,
1980,177348875000.0,77280000.0,0.0,1700000.0,0.00043556148753829446
1981,182946859000.0,108940000.00000001,0.0,1913000.0,0.000595119087158774
1982,148397434000.0,72954000.0,0.0,5856000.000000001,0.0004913707102321306
1983,170226006000.0,104010000.0,0.0,10555000.0,0.000610638115597899
1984,46588917000.0,143785127000.0,2851060000.0,47667634000.0,0.7552769483638221
1985,38628142000.0,131427734999.99998,2983308000.0,50738892000.0,0.7728502967292332
1986,43073557000.0,115241076000.0,1755080000.0,44880514000.0,0.7279243479659899
1987,67459501000.00001,134045911000.0,3396034000.0,50815005000.0,0.6652223861858361
1988,67137579000.0,167419375000.0,3681679000.0,64231958000.0,0.7137685416907316
1989,73061548000.0,159689305000.0,3326526000.0,66124966000.0,0.6860954662108155
1990,64911650000.0,156190243000.0,2775720000.0,68765056000.0,0.7064174841777587
1991,62197589000.0,108264380000.0,3788538999.9999995,52632041000.0,0.6351233687791087
1992,55289384000.0,125440121000.0,2504568000.0,47824370000.0,0.6940766035960758
1993,68956300000.0,147436365000.0,2049547999.9999998,46877183000.0,0.6813371654718519
1994,85081336000.0,230103769000.0,4447707000.0,72384577000.0,0.7300591473064694
1995,110179464000.0,255810615000.0,5571205000.0,93586162000.0,0.6989550528226204
1996,121234325000.0,299652962000.0,5163436000.0,104925672000.0,0.7119553649050939
1997,150828619000.0,313159901000.0,5329244000.0,108794377000.0,0.6749302784474064
1998,166376435000.0,277527313000.0,3965401000.0,89122299000.0,0.625197048347517
1999,212806071000.0,362942287000.0,6522927000.000001,119345045000.0,0.6303835381498387
2000,182999571000.0,405764150000.0,832779000.0,149293378000.0,0.6891799469417376
2001,50961792000.0,145674407000.0,18600999.999999933,122113202000.0,0.7408320936878973
2002,96771720000.0,225741635000.0,507537000.00000006,134372067000.00002,0.6999450766930256
2003,151438956000.0,452940379000.0,765149000.0,178599677000.0,0.7494306187685917
2004,137823824000.0,592341574000.0,1390573000.0,285282341000.0,0.8112430082587946
2005,129959106000.0,726859383000.0,1337611000.0,334440604000.0,0.8483236441925099
2006,210928829000.0,861480133000.0,2185801000.0,406061844000.0,0.8033130676130996
2007,134787891000.0,812182500000.0,1677626000.0,474243763000.0,0.8576640914214181
2008,22694701000.0,324515925000.0,1777062999.9999998,424531190000.0,0.9346370781866566
2009,38397216000.0,663980814000.0,1459517000.0,374539091000.0,0.9453325497666833
2010,114873393000.0,926337955000.0,-73029999.99999997,481275501000.0,0.8896733182742838
2011,64910716000.0,1041126738000.0,1716708000.0,552980505000.0,0.941312370783422
2012,67461056000.0,974688903000.0,1484264000.0000002,528835745000.0,0.9352674196094268
2013,113905235000.0,1106775722000.0,2574992000.0,525994348000.0,0.9066871369240177
2014,71449672000.0,1127570318000.0,996360000.0,520938284000.0,0.9404099409551963
2015,41836826000.0,873410971000.0,948987000.0,433442059000.0,0.9542890721647921
2016,51844879000.0,919528918000.0,1276089000.0,447739105000.0,0.9466272621722779
2017,55496315000.0,1018099533000.0,854112000.0,545806189999.99994,0.9483080014668611
2018,33133286000.0,1186166989000.0,1152235000.0000002,614061622000.0,0.97282598332884
2019,48246596000.0,1081752125000.0,1576510000.0,559740729000.0,0.9573038490191353
2020,6288367000.000001,760867574000.0,827187999.9999999,414037460000.0,0.9918030133589228
2021,28217614999.999996,314119470000.0,11856000.000000002,155218029000.0,0.9175735956272456
