"","Year","Country","All Industries","Mining","Utilities","Total Manufacturing","Food Manufacturing","Chemicals Manufacturing","Primary and Fabricated Metals Manufacturing","Machinery Manufacturing","Computers and Electronic Products Manufacturing","Electrical Equipment, Appliances, and Components Manufacturing","Transportation Equipment Manufacturing","Wholesale Trade","Information","Finance (except depository institutions) and Insurance","Professional, Scientific, and Technical Services","Other Industries"
"1",1999,"Africa R",1247,1042,-1,142,10,2,6.96234948489521,1,0.406030828948133,10.2480016673383,1,-271.178906059884,397.638158523349,76.9684361052541,376.691373009387,1372.60257384137
"2",2000,"Africa R",3020,2461,-1,167,33.1821648712719,18,25.0175105925812,1,35.1102015936989,2,0.373886041576043,61,-26,23,39.6133930800663,676.083887568053
"3",2001,"Africa R",2415,2042,288.969933821931,185,110.740231865386,21,15,1,72.243376127655,2,8,81,-29,61,4,812.969175999363
"4",2002,"Africa R",3022,2801,236.563117832599,288,34,15,16,1,-35.1711373754576,2,7,11,-29,-23.0633721380344,4,-332.053408103532
"5",2003,"Africa R",4089,3674.57039106949,369.007887580307,445,134,48,18,1,-43.0265804917554,2,5,29,-31,-304.946129792952,4,42
"6",2004,"Africa R",7122,2674.3146428922,165.63196926613,563,14.3615448917404,9,27.1117279726875,1,0.278745877556503,0,12,471.674540256872,5,-148.075897914405,-32.8050355881999,-169.577444753183
"7",2005,"Africa R",12550,2033.8691234191,623.51021950064,371,20.7561272221861,10.1868582989928,17.3488392339406,-56.0876786422934,0.146525549818762,0,5,-134.192690278494,5,-1161.20308515769,-1,964
"8",2006,"Africa R",15189,3011.78909119525,-0.173803579236665,260,26,53.5327866965907,6.80247685732082,1,-15.5441625960925,0,34,85.7529521260589,4,-215.275253779817,-1,917
"9",2007,"Africa R",2954.09140737833,2316.47531965566,17.5812864522738,242,40.9190861194849,16.8590129840365,16.3095740969584,1,-21.5451432566757,0,38,84.3422881165551,4,-348.363236316509,47.0557494703531,591
"10",2008,"Africa R",23551,2367.03249012493,485.215566294649,393,36,77.3730943637416,36.6394035870848,-16.6436748372821,28.7555719380065,0,37,50.2199603798464,4,618.390811375143,270.091391337953,1222
"11",1999,"Argentina",493,257,43,241,72,64,16,-9,1,-29,-94,-66,51,15,-44,-6
"12",2000,"Argentina",456,703,104,84,44,20,19,22,4,-33,-101,-33,-327,137,-4,-208
"13",2001,"Argentina",-478,841,-25,-238,-24,56,27,24,0.190429244772531,-29,-404,-132,-534,158,-2,-545
"14",2002,"Argentina",-355,884,-220,-553,79,-510,-10,19,0.406987890601158,-28,49,-7,-262,90,-25,-262
"15",2003,"Argentina",1024,876,109,415,136,75,-22,-39.2626923438926,0.233289410243742,-33,29,180,-110,-297,-25,-124
"16",2004,"Argentina",1814,1147,99,779,124,299,7,29,3,19.5190072497396,122,243,-199,64,-6,-314
"17",2005,"Argentina",2526,1355,107,1087,122,545,-15.3231275102806,24,3,4,136,157,-240,102,16,-58
"18",2006,"Argentina",3554,2228,111,935,126,461,10,39,5,4,173,132,73,104,14,-41
"19",2007,"Argentina",3447,1469,370.545170452306,1406,233,512,-1,33,6,5,302,179,125,178,14,-154.141814855128
"20",2008,"Argentina",3457,228,409.961557503257,2542,918,858,13.719310543483,23,6,5,297,240,205,110,4,-257.55102206285
"21",1999,"Asia and Pacific R",153,315.298086794856,45.3409477003629,17,10,0.12350230186712,0.336838539107703,-1,102.475837181135,0,-5,27,170.700965542756,-132.551319961179,-30.5309154735401,489.270155439746
