"","Year","Country","All Industries","Mining","Total Manufacturing","Food Manufacturing","Chemicals Manufacturing","Primary and Fabricated Metals Manufacturing","Machinery Manufacturing","Computers and Electronic Products Manufacturing","Electrical Equipment, Appliances, and Components Manufacturing","Transportation Equipment Manufacturing","Wholesale Trade","Retail Trade","Information","Finance and Insurance","Professional, Scientific, and Technical Services","Other Industries"
"1",2009,"Africa R",12537,9289.62680392201,478,66.0193512921027,89,0.173024124931544,27,14,0.423862039810047,-8,-154.279838746352,-112.343442912881,5,44,-40.9622077375814,341
"2",2010,"Africa R",16575,13279.5980509686,527,72.9684790664755,76,5,-0.983318127332336,15,0.0614906478440389,21,576.240566910644,22.5853680737706,5,127,5,-73
"3",2011,"Africa R",17593,16841,584,84.2597350159049,364.680628507452,-42.7367049713798,44,14,0.453071446274407,35,681.000140812254,-83.9842698436007,5,352,6,-390
"4",2012,"Africa R",19185,17554,1149,131.113346321409,55,9,21,16,0.280204129987396,40,572.661960780112,100.180241996229,59.3108982471591,386,21,-165
"5",2013,"Africa R",16800,16016,927,175.211790997131,245.877498124387,5,34,11,0.255267785978504,35,741.099621020638,109.823371173744,-56.4715539651147,330,21,1367.29187034687
"6",2014,"Africa R",12477.6084362036,11345,188.538636248026,37,34.1327109738901,61.4059252741361,25,-24,-1,56,1026.32280664106,24.5996476323598,-103,359.147345682151,11,-374
"7",2015,"Africa R",2044,1416,498,21,960.890881710121,-21,30,-118.070725282358,4,60,-55.8527425399949,254.102714772206,-70,386.641012534808,-71.2507130646469,-711.922286154693
"8",2016,"Africa R",1113,89,406,10,469.349871552973,9,26,-166.213741098374,2,56,77,2,-102,311.61559214029,-31,-3617.72156311919
"9",2017,"Africa R",3057,1336,442,60,431.93821790796,0.0403265040367842,27,43.3713501801783,0.171286786673591,79,-31,5,229,975.843089659068,-68,-3428.53360914601
"10",2018,"Africa R",4656,3834,590,58,186.924644137383,3,45,-72.5942997896563,-4,97,11,4,-261.666018560948,777.393132710197,3.5455091976914,1161.65910319979
"11",2009,"Argentina",3559,1724,708,77,494,3,-3,-11,0.124623947660439,-61,120,48,230,477,49,203
"12",2010,"Argentina",5039,2376,1319,147,571,3,7,-11,0.356975037953816,285,164,3,247,455,45,430
"13",2011,"Argentina",5440,2821,1554,163,498,3,8,-12,0.456661140313372,252,159,-31,310,533,43,51
"14",2012,"Argentina",4560,1616,1762,294,686,6,49,-12,0.152541363728233,180,174,-62,294,554,23,197
"15",2013,"Argentina",4324,1989,1399,28,710,13,113,-12,9,-93,163,-68,373,612,72,-216
"16",2014,"Argentina",5408,1815,1803,55,1012,10,133,3,8,3,174,-43,330,863,77,389
"17",2015,"Argentina",4307,1163,1939,-55,757,11,92,0.360994686488993,0.388282206491567,288,-54,-40,179,863,47,211
"18",2016,"Argentina",3233,1483,1148,-83,589,6,16,0.171494650072418,5,115,17,-76,136,918,63,-457
"19",2017,"Argentina",4342,926,1108,-81,732,-7.92291608828614,3,0.0288153714500368,2,-84,206,-84,239,927,57,963
"20",2018,"Argentina",2470,421,626,86,652,71.2408890760985,-122,0.420102971489541,6,-275,-114,-50,205,1189,67,127
"21",2009,"Asia and Pacific R",2258,1022,135,54,27,-97.8654343779997,-65.6114089303387,-11,0.425582793657668,115.292592108477,186,31.3671032601523,9,68,23,6316.80979025729
"22",2010,"Asia and Pacific R",3157,1154,159,31,11,40.0948238493364,0.113730136305094,297.097125417861,0.413183172931895,7,153,116.387145358209,9,130,23,-110.319664978947
"23",2011,"Asia and Pacific R",3788,937,139,50,29,220.213977385741,0.372180613689125,22,0.289449536125176,8,186,22.0849061272901,10,68,41,7925.74500777106
"24",2012,"Asia and Pacific R",3412,539,134,82,48,115.846643152256,0.0917139195371419,79.5091780795453,0.250939613673836,2,215,260.809272515267,10,92,38,3763.98393371399
"25",2013,"Asia and Pacific R",4657,492,222,69,57,114.129553993572,0.0149516068631783,25,0.246588521054946,-384.616467746214,220,186.773308694094,11,90,42,3201.68080471705
"26",2014,"Asia and Pacific R",6469,1172,494,109,94,-48.8360058115277,0.00459129689261317,69.0810487063078,0,-426.284875050573,291,68.5915915357475,10,90,27,804.528019695878
"27",2015,"Asia and Pacific R",5186,1136,465,141,-3,-15.9315182322431,-4,254.085503060132,0.460315832984634,577.245832525098,259,18,40,108,24,3136
"28",2016,"Asia and Pacific R",3803,714,697,164,99,212.009477091091,-12.8328499441853,-31.1137700950779,0.470118175144307,221.415711309044,217,12,22,134,29,1977
"29",2017,"Asia and Pacific R",4258,1379.94039615189,873,158,98,75.3060306824793,-35.1356092185914,108,0.0725445878924802,472.987163391145,161,9,-34,114,30,-458.604979740904
"30",2018,"Asia and Pacific R",5089,805.370574147031,719,128,66,-62.7758772342989,-100.729244084722,166.968875176317,0.332838116912171,449.331615627628,124,3,-20,173,34,1226.87419578569
"31",2009,"Australia",10200,3181,2632,561,500,296,182,72,73,65,1234,39,478,2140,791,-294
"32",2010,"Australia",16762,6567,3899,790,493,488,265,80,174,415,1405,59,1013,3607,687,-476
"33",2011,"Australia",20425,9782,4429,1101,546,578,289,295,113,313,1551,-136,605,3879,973,-658
"34",2012,"Australia",16032,7916,3431,765,430,441,362,325,97,-485,1368,30,454,2328,1187,-681
"35",2013,"Australia",9418,6582,2640,798,351,570,272,140,18,-1285,1456,-142,1479.80056602713,2559,795,-2115.56701015949
"36",2014,"Australia",16810,3692,3126,931,136,428,282,45,13,-294,1975,-79,3161,2559,673,1704
