"","Year","Country","All Industries","Petroleum","Total Manufacturing","Food and Kindred Products Manufacturing","Chemicals and Allied Products Manufacturing","Primary and Fabricated Metals Manufacturing","Industrial Machinery and Equipment Manufacturing","Electronic and Other Electric Equipment Manufacturing","Transportation Manufacturing","Other Manufacturing","Wholesale Trade","Finance (except depository institutions), Insurance, and Real Estate","Services","Other Industries"
"1",1994,"Africa R",985,153.154949842387,204,116,65.3803138899014,36,160.025373073742,130.517134912976,0,121.738670060096,141.743288449861,20,11,55.4714252296053
"2",1996,"Africa R",1405,253.024847135841,164,88.7446952057192,18,26,2,-1,0,199.635882722813,135.344254816718,62,14,145.710056966781
"3",1997,"Africa R",1331,245.896596329471,192,69,63.30064006904,57,2,-1,0,91.2984371958161,11,94,10,32.5610483752051
"4",1998,"Africa R",791,184.087936947582,204,122,85.0791045508808,60.3088546209402,2,0,9.47334936909832,254.727147736566,85.5331649159441,195.703550864315,10,14.7384003404436
"5",1994,"Argentina",1125,150,677,239,260,24,4,13,-1,138,182,0.0822940764483064,25,90
"6",1996,"Argentina",1345,216,801,311,341,35,3,5,-80,187,74,6,74,175
"7",1997,"Argentina",1175,190,764,278,218,35,3,22.2686309507504,-16,137.893332784566,91,-12,103,39
"8",1998,"Argentina",950,129,541,240,186,35,3,-66.5244140006527,-114,158.923982730941,63,3,145,70
"9",1994,"Asia and Pacific R",114,64,42,25,16,-33.3091390742061,-2,-77.3679038457924,0,0,14,321.484631071065,41.9259226756173,-10
"10",1996,"Asia and Pacific R",296,264,20,3,17,0.165753744309768,-2,3,-1,0,45,200.435981463262,5,104.757461832654
"11",1997,"Asia and Pacific R",212,186,4,16,-5,0.469703796203248,-2,3,-6,-2,14,129.902915164124,12,32.6004219589913
"12",1998,"Asia and Pacific R",-68,-166,8,19,-8,0.203044482739642,-2,3,169.440853967412,-23.8510067521751,11,39.803382055403,7,28.2951881799538
"13",1994,"Australia",3251,844,1431,288,452,70,86,18,225,291,392,306,99,179
"14",1996,"Australia",4441,1413,1884,110,695,66,73,58,574,308,372,284,294,194
"15",1997,"Australia",5040,1361,1890,128,661,54,59,60,646,283,329,784,344,332
"16",1998,"Australia",3085,805,1258,176,521,40,18,2,245,258,258,219,280,266
"17",1994,"Austria",656,88.8335491748545,437,65,21,1,6,61,135.054304520184,117.64660847209,155,21,34,-6.2005554009544
"18",1996,"Austria",719,162.204877153517,516,60,23,2,8,71,88.0513322792549,144.812479279524,119,32,34,29.4114514407134
"19",1997,"Austria",674,82.7941045010701,371,59,5,36.0143878974254,43,66,153.852066124649,295.481973984849,197,25,62,50.1202498219221
"20",1998,"Austria",696,11,444,53,17,-11.4064074381153,10,97,46.5535686110244,151.359587863431,142,35,80,-17
"21",1994,"Bahamas",101.466165023502,-3,1,0,17.0431626542862,0,0,0,0,79.8182698560237,30,11,26.0388478765556,36.4273171469461
"22",1996,"Bahamas",62,-14,14,0,13,0,0,0,0,1,29,11,14,8
"23",1997,"Bahamas",75,-11,15,0,22.8991855830435,0,0,0,0,128.11793290593,44,0.304579711752012,19,8
"24",1998,"Bahamas",105,25.1208438702161,60.0384582578197,0,60.0384582578197,0,0,0,0,0,45,70.8916790422748,8,10
"25",1994,"Barbados",389,8,3,1,0,0,0,44.1774718714476,0,17.5895433155803,293,61,25,0
"26",1996,"Barbados",760,15,3,2,0,0,0,10.2533556372228,0,82.3527899169411,113,524,104,0
"27",1997,"Barbados",960,11,4,2,0,0,0,2,0,0.169207238010131,118,736,91,0
"28",1998,"Barbados",1296,19,4,2,0,0,0,2,0,0.1544834531378,77,1079,117,0
"29",1994,"Belgium",2281,60,1452,87,1073,5,88,26,126,47,135,433,227,-26
"30",1996,"Belgium",3047,69,1716,167,1135,27,94,77,41,175,475,365,438,-16
"31",1997,"Belgium",2833,140,1679,92,1228,30,79,45,85,120,434,300,317,-37
"32",1998,"Belgium",3497,240,1907,205,1139,87,139,60,119,158,457,631,310,-47
"33",1994,"Bermuda",1895,133.142167544142,0,0,0,0,0,0,0,0,513.428175369554,1532,41,-6
"34",1996,"Bermuda",2690,182.484097791105,62.1155234434438,0,0,0,0,19.10973229414,0,43.0057911493038,319,2272,90,0
"35",1997,"Bermuda",4270,231.501303923866,74.9005925148922,0,0,0,0,74.9005925148922,0,0,761,3400,96,0.441301562357694
"36",1998,"Bermuda",3934,26,78.4719983634881,0,0,0,0,78.4719983634881,0,0,891,2699,214,243.710103946017
"37",1994,"Brazil",5209,189,4089,506,968,160,196,103,1142,1014,134,-58,844,10
"38",1996,"Brazil",4430,228,3488,879,1037,50,190,-589,758,1163,91,159,416,49
"39",1997,"Brazil",5069,296,3920,1087,737,193,235,-81,655,1094,233,173,481,-34
"40",1998,"Brazil",3246,451,1649,662,688,105,231,-513,-222,697,147,321,219,460
"41",1994,"Canada",8587,1260,5259,563,1116,308,325,227,1555,1165,705,512,311,539
"42",1996,"Canada",12918,2037,6715,621,1461,406,717,476,1580,1453,902,1906,445,913
"43",1997,"Canada",15782,2210,8732,696,1347,496,820,568,3412,1393,1240,1835,742,1023
"44",1998,"Canada",12379,934,6909,685,1190,466,692,540,2464,873,1094,1283,798,1361
"45",1994,"Central America R",71,43,23,1,6,1,0,-9.60032318644046,0,72.7033589132902,98.1625215656972,151.192315930844,1,0.413841080036946
"46",1996,"Central America R",81,40.685481749449,29,3,2,0.288986931205727,0,50.9004594667747,0,64.8509504817672,65.3506500010911,0.45548256218899,1,-19.1501177267974
"47",1997,"Central America R",77,108.448879653776,21,3,6,19.3265317158497,0,31.0068809143833,0,13,5,0.363639049464837,1,-14.4873520415177
"48",1998,"Central America R",120,53,34,-16.0517506020368,20,39.7022185080227,0,61.9586166156665,0,84.9310690884491,89.3363678716943,97.690995769537,1,26
"49",1994,"Chile",621,181.161286019433,214,56,74,-23.531252834867,-76.0133756121124,327.906450372712,28.979629175863,31,46,56,42,59.7563797942429
"50",1996,"Chile",997,157.697107359934,259,96,100,-32,-1,83.6471465404094,67.6965038216596,34,55,90,-7,46.1393857069015
"51",1997,"Chile",1324,148.651382432924,309,107,99,3,-1,16.6543911615883,85.8683496721076,48,48,117,23,85.9005316394512
"52",1998,"Chile",811,320.497556411069,341,133,92,-37.4018465728755,-1,-26.992858265454,4.95144781692943,75,49,117,37,38.741648089395
"53",1994,"China",216,-27,196,6,22,13,43,100,0,12,12,15,1,19
"54",1996,"China",946,203,693,-28,217,19,93,400,-9,1,-5,32,10,14
"55",1997,"China",1253,233,884,30,189,4,257,396,0.466445802827366,8,90,13,5,28
"56",1998,"China",711,85,684,18,214,5,167,407,-12,-116,-8,153.78621200704,17,68.1996762627239
"57",1994,"Colombia",614,140,479,125,177,21.4466674494399,-1,8,-13.0475798540809,68,49,4,4,-62
"58",1996,"Colombia",868,277,488,136,186,17,-2,-57.7155555286764,231.901207644551,85,8,-2,23,74
"59",1997,"Colombia",958,286,523,134,197,27,-2,9,114.431882603907,139.090135775549,101,8,30,10
"60",1998,"Colombia",322,-161,348,116,180,25,-2,47.3443699954339,18.510606764926,124.608235144496,75,5,15,38
"61",1994,"Costa Rica",288,8.67997195415294,66,26,11,4,0,58.9211946331395,0,110.799791318016,224.674255676593,0.36177350836806,-1,-22
"62",1996,"Costa Rica",348,24,75,21,5,3,0,176.461807598089,0,127.224120089251,134.116946181753,0.376027993275784,-1,-29.618399838374
"63",1997,"Costa Rica",316,5,105,18,12,7,0,43,0,26,199,0.476452153525315,-2,8
"64",1998,"Costa Rica",-57,93.2314025186989,94,23,9,9,159.045986615952,34,0,96.3584728719846,140.054048755685,-71.0095522549937,-2,81.9996265721745
"65",1994,"Denmark",374,73,120,59,11,10,0,-27.1878549436241,55.7537281660928,13,140,-9.04856750132902,8,49.0814681858122
"66",1996,"Denmark",460,157,111,34.5442918621781,26,6,212.251717898299,49.7499416072229,41.5822760652264,48,171.946695682154,247.650606104484,17,1
"67",1997,"Denmark",468,121,108,61.5270953983578,24,6,40.1925421120551,-6.27607402312242,55.3381957568679,106.211445076298,135.276167849502,67.0478547150083,37,-1
"68",1998,"Denmark",467,105,149,42,23,6,93.4509276779538,-22.2419303242309,0.343464146717452,30,100.126706304434,112.379011492735,11,0.446458752849139
