observation_date,DTWEXBGS_PCH,DTWEXB_PCH,DTWEXM_PCH
1974-01-01,,,1.84883
1975-01-01,,,0.35914
1976-01-01,,,3.95275
1977-01-01,,,-0.31490
1978-01-01,,,-8.46043
1979-01-01,,,-1.57800
1980-01-01,,,-0.25524
1981-01-01,,,9.86674
1982-01-01,,,10.49451
1983-01-01,,,4.06340
1984-01-01,,,6.83225
1985-01-01,,,3.78367
1986-01-01,,,-17.80700
1987-01-01,,,-11.49322
1988-01-01,,,-6.92568
1989-01-01,,,4.27590
1990-01-01,,,-4.64699
1991-01-01,,,-1.47159
1992-01-01,,,-1.79496
1993-01-01,,,3.33531
1994-01-01,,,-1.64004
1995-01-01,,,-5.66746
1996-01-01,,5.27488,4.59394
1997-01-01,,7.10864,7.66536
1998-01-01,,11.04527,4.80778
1999-01-01,,0.23179,-1.42818
2000-01-01,,2.92952,4.90300
2001-01-01,,5.39758,5.94116
2002-01-01,,0.57408,-1.57460
2003-01-01,,-5.97998,-12.27209
2004-01-01,,-4.61093,-8.21448
2005-01-01,,-2.54334,-1.87089
2006-01-01,,-1.93052,-1.51725
2007-01-01,-4.85850,-4.73093,-5.62626
2008-01-01,-3.12316,-3.56288,-4.47778
2009-01-01,6.45993,5.74904,4.29364
2010-01-01,-3.82093,-3.60023,-2.93246
2011-01-01,-4.59670,-4.63371,-5.99187
2012-01-01,3.22089,2.82082,3.84649
2013-01-01,1.22770,1.10335,3.16162
2014-01-01,3.04700,3.07755,3.22951
2015-01-01,13.16285,12.57590,16.08630
2016-01-01,4.52700,4.50865,0.56282
2017-01-01,-0.22673,-0.23401,-0.45125
2018-01-01,-0.71529,0.69037,-2.26611
2019-01-01,3.33050,4.66236,3.38299
2020-01-01,1.76910,,
2021-01-01,-3.96049,,
2022-01-01,6.70834,,
2023-01-01,-0.17832,,
2024-01-01,2.25212,,
