iso3	year	total_taxes_revenue	GDP_int	POP_int	region_tjn	UKt	OECD	OECD_OCT
ABW	2011	0.188	2549720670.3910604	102046.0	Caribbean/American isl.	0.0	0.0	1.0
ABW	2012	0.20246414430268367	2534636871.50838	102560.0	Caribbean/American isl.	0.0	0.0	1.0
ABW	2013	0.20377988778593006	2701675977.6536303	103159.0	Caribbean/American isl.	0.0	0.0	1.0
ABW	2014	0.211258697027198	2765363128.49162	103774.0	Caribbean/American isl.	0.0	0.0	1.0
ABW	2015	0.21668742216687426	2919553072.6257	104341.0	Caribbean/American isl.	0.0	0.0	1.0
ABW	2016	0.2254115660616293	2965921787.7095	104872.0	Caribbean/American isl.	0.0	0.0	1.0
ABW	2017		3056424581.00559	105366.0	Caribbean/American isl.	0.0	0.0	1.0
ABW	2018		3056424581.00559	105845.0	Caribbean/American isl.	0.0	0.0	1.0
ABW	2019		3056424581.00559	106314.0	Caribbean/American isl.	0.0	0.0	1.0
ABW	2020		3056424581.00559	106314.0	Caribbean/American isl.	0.0	0.0	1.0
AFG	2011	0.09032268425688393	17804292964.1045	30117413.0	Asia	0.0	0.0	0.0
AFG	2012	0.07648761268533201	20001598505.7042	31161376.0	Asia	0.0	0.0	0.0
AFG	2013	0.0723677545295735	20561069558.2152	32269589.0	Asia	0.0	0.0	0.0
AFG	2014	0.06815044991821917	20484885119.7348	33370794.0	Asia	0.0	0.0	0.0
AFG	2015	0.07557335813234467	19907111418.9938	34413603.0	Asia	0.0	0.0	0.0
AFG	2016	0.0881390275424504	19362642266.6484	35383128.0	Asia	0.0	0.0	0.0
AFG	2017	0.09236803230216907	20191760000.0587	36296400.0	Asia	0.0	0.0	0.0
AFG	2018		19484384936.6312	37172386.0	Asia	0.0	0.0	0.0
AFG	2019		19101353832.7371	38041754.0	Asia	0.0	0.0	0.0
AFG	2020		19101353832.7371	38041754.0	Asia	0.0	0.0	0.0
AFG	2021		19101353832.7371	38041754.0	Asia	0.0	0.0	0.0
AFG	2022		19101353832.7371	38041754.0	Asia	0.0	0.0	0.0
AFG	2023		19101353832.7371	38041754.0	Asia	0.0	0.0	0.0
AFG	2024		19101353832.7371	38041754.0	Asia	0.0	0.0	0.0
AFG	2025		19101353832.7371	38041754.0	Asia	0.0	0.0	0.0
AFG	2026		19101353832.7371	38041754.0	Asia	0.0	0.0	0.0
AGO	2011	0.4311994926168514	111789686464.441	24220661.0	Africa	0.0	0.0	0.0
AGO	2012	0.3947664407625389	128052853643.106	25107931.0	Africa	0.0	0.0	0.0
AGO	2013	0.34876847290640395	136709862831.194	26015780.0	Africa	0.0	0.0	0.0
AGO	2014	0.28609606628380896	145712200312.505	26941779.0	Africa	0.0	0.0	0.0
AGO	2015	0.21805998298243265	116193649124.151	27884381.0	Africa	0.0	0.0	0.0
AGO	2016	0.1570433552049993	101123851090.455	28842484.0	Africa	0.0	0.0	0.0
AGO	2017	0.15807682247326316	122123822333.591	29816748.0	Africa	0.0	0.0	0.0
AGO	2018		101353230784.594	30809762.0	Africa	0.0	0.0	0.0
AGO	2019		94635415869.9851	31825295.0	Africa	0.0	0.0	0.0
AGO	2020		94635415869.9851	31825295.0	Africa	0.0	0.0	0.0
AGO	2021		94635415869.9851	31825295.0	Africa	0.0	0.0	0.0
AGO	2022		94635415869.9851	31825295.0	Africa	0.0	0.0	0.0
AGO	2023		94635415869.9851	31825295.0	Africa	0.0	0.0	0.0
AGO	2024		94635415869.9851	31825295.0	Africa	0.0	0.0	0.0
AGO	2025		94635415869.9851	31825295.0	Africa	0.0	0.0	0.0
AGO	2026		94635415869.9851	31825295.0	Africa	0.0	0.0	0.0
AIA	2011	0.2288937340088664	278750000.0	14000.0	Caribbean/American isl.	1.0	0.0	1.0
AIA	2012	0.2051177588258628	289500000.0	14152.8	Caribbean/American isl.	1.0	0.0	1.0
AIA	2013	0.1937159041050903	300250000.0	14305.6	Caribbean/American isl.	1.0	0.0	1.0
AIA	2014	0.18596839412758465	311000000.0	14458.4	Caribbean/American isl.	1.0	0.0	1.0
AIA	2015		331000000.0	14611.2	Caribbean/American isl.	1.0	0.0	1.0
AIA	2016		317000000.0	14764.0	Caribbean/American isl.	1.0	0.0	1.0
AIA	2017		281000000.0	14900.0	Caribbean/American isl.	1.0	0.0	1.0
AIA	2018		281000000.0	17422.0	Caribbean/American isl.	1.0	0.0	1.0
AIA	2019		281000000.0	14900.0	Caribbean/American isl.	1.0	0.0	1.0
AIA	2020		281000000.0	14900.0	Caribbean/American isl.	1.0	0.0	1.0
ALA	2011		1560000000.0		Europe	0.0	0.0	
ALA	2012		1560000000.0		Europe	0.0	0.0	
ALA	2013		1560000000.0		Europe	0.0	0.0	
ALA	2014		1560000000.0		Europe	0.0	0.0	
ALA	2015		1560000000.0		Europe	0.0	0.0	
ALA	2016		1560000000.0		Europe	0.0	0.0	
ALA	2017		1560000000.0	29489.0	Europe	0.0	0.0	
ALB	2011	0.18761277494494952	12890765324.2256	2905195.0	Europe	0.0	0.0	0.0
ALB	2012	0.1811008109927064	12319830252.4768	2900401.0	Europe	0.0	0.0	0.0
ALB	2013	0.17087316964946014	12776217194.7928	2895092.0	Europe	0.0	0.0	0.0
ALB	2014	0.1905268188249151	13228144008.3428	2889104.0	Europe	0.0	0.0	0.0
ALB	2015	0.1920091675168048	11386846319.1589	2880703.0	Europe	0.0	0.0	0.0
ALB	2016	0.18324239256599445	11861200797.4707	2876101.0	Europe	0.0	0.0	0.0
ALB	2017	0.19785215821540247	13019693450.8816	2873457.0	Europe	0.0	0.0	0.0
ALB	2018		15147020535.3869	2866376.0	Europe	0.0	0.0	0.0
ALB	2019		15278077446.8643	2854191.0	Europe	0.0	0.0	0.0
ALB	2020		15278077446.8643	2854191.0	Europe	0.0	0.0	0.0
ALB	2021		15278077446.8643	2854191.0	Europe	0.0	0.0	0.0
ALB	2022		15278077446.8643	2854191.0	Europe	0.0	0.0	0.0
ALB	2023		15278077446.8643	2854191.0	Europe	0.0	0.0	0.0
ALB	2024		15278077446.8643	2854191.0	Europe	0.0	0.0	0.0
ALB	2025		15278077446.8643	2854191.0	Europe	0.0	0.0	0.0
ALB	2026		15278077446.8643	2854191.0	Europe	0.0	0.0	0.0
AND	2011		3629203786.19154	83747.0	Europe	0.0	0.0	0.0
AND	2012		3188808942.56713	82427.0	Europe	0.0	0.0	0.0
AND	2013		3193704343.2062697	80774.0	Europe	0.0	0.0	0.0
AND	2014		3271808157.30039	79213.0	Europe	0.0	0.0	0.0
AND	2015		2789870187.50693	78011.0	Europe	0.0	0.0	0.0
AND	2016		2896679211.86628	77297.0	Europe	0.0	0.0	0.0
AND	2017		3000180750.11297	77001.0	Europe	0.0	0.0	0.0
AND	2018		3218316013.22626	77006.0	Europe	0.0	0.0	0.0
AND	2019		3154057987.23833	77142.0	Europe	0.0	0.0	0.0
AND	2020		3154057987.23833	77142.0	Europe	0.0	0.0	0.0
ANT	2011		7524000000.0	304759.0	Caribbean/American isl.	0.0	0.0	1.0
ANT	2012		11200000000.0	304759.0	Caribbean/American isl.	0.0	0.0	1.0
ANT	2013		11200000000.0	304759.0	Caribbean/American isl.	0.0	0.0	1.0
ANT	2014		11200000000.0	304759.0	Caribbean/American isl.	0.0	0.0	1.0
ANT	2015		11200000000.0	304759.0	Caribbean/American isl.	0.0	0.0	1.0
ANT	2016		11200000000.0	304759.0	Caribbean/American isl.	0.0	0.0	1.0
ANT	2017		11200000000.0	304759.0	Caribbean/American isl.	0.0	0.0	1.0
ANT	2018		11200000000.0	304759.0	Caribbean/American isl.	0.0	0.0	1.0
ANT	2019		11200000000.0	304759.0	Caribbean/American isl.	0.0	0.0	1.0
ANT	2020		11200000000.0	304759.0	Caribbean/American isl.	0.0	0.0	1.0
ARE	2011		350666031313.819	8946777.0	Asia	0.0	0.0	0.0
ARE	2012	0.2273784601070017	374590605854.323	9141596.0	Asia	0.0	0.0	0.0
ARE	2013	0.2227309848045956	390107556160.654	9197910.0	Asia	0.0	0.0	0.0
ARE	2014	0.18905519682273805	403137100068.074	9214175.0	Asia	0.0	0.0	0.0
ARE	2015	0.12507127922448205	358135057862.492	9262900.0	Asia	0.0	0.0	0.0
ARE	2016	0.08907530981887513	357045064669.84296	9360980.0	Asia	0.0	0.0	0.0
ARE	2017	0.11857566850058007	385605506854.8809	9487203.0	Asia	0.0	0.0	0.0
ARE	2018		422215043584.969	9630959.0	Asia	0.0	0.0	0.0
